Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
дирхам;1.1.3.2.10.2.1.1.2.;1.1.3.2.10.2.1.1.3.3.;;;;;
дирхем;1.1.3.2.10.2.1.1.2.;1.1.3.2.10.2.1.1.3.3.;;;;;
дисбат;1.1.3.3.2.3.;;;;;;
дисгармоничность;1.2.1.2.1.1.4.3.;;;;;;
дисгармония;1.2.1.2.1.1.4.3.;1.2.1.5.2.1.3.3.3.;;;;;
диск;1.1.3.2.3.3.1.3.;1.1.3.2.11.1.2.1.2.;1.1.3.4.2.1.1.;;;;
диск-жокей;1.1.1.2.1.1.1.2.4.2.2.4.2.3.2.;;;;;;
дискант;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;1.2.1.1.4.2.1.3.2.2.;1.2.1.5.2.1.3.3.3.;;;;
дисквалифицировать;2.3.5.2.4.2.2.;2.3.5.3.1.1.;2.4.1.3.2.6.;;;;
дискета;1.1.3.2.3.3.1.3.;;;;;;
дискетка;1.1.3.2.3.3.1.3.;;;;;;
диско-клуб;1.1.3.3.1.2.6.5.;;;;;;
дискобол;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
дискоболка;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
дисковод;1.1.3.2.3.3.5.;;;;;;
дискомфорт;1.2.1.1.2.7.3.;1.2.1.1.4.2.2.3.2.1.;;;;;
дисконтировать;2.3.5.2.4.6.2.1.;;;;;;
дискос;1.1.3.2.8.2.;;;;;;
дискотека;1.1.3.2.1.4.2.;1.1.3.2.2.7.1.1.;1.1.3.3.1.2.6.5.;1.2.1.6.4.4.2.4.5.;;;
дискредитировать;2.3.2.2.2.3.2.1.;;;;;;
дискриминация;1.2.1.6.3.2.3.2.2.4.;;;;;;
дискриминировать;2.3.5.2.4.4.2.2.;;;;;;
дискурс;1.2.1.5.2.1.2.1.2.3.1.3.1.;;;;;;
дискуссия;1.2.1.4.2.3.1.1.;;;;;;
дискутировать;2.3.3.3.1.1.3.2.;;;;;;
дислокация;1.2.1.1.4.1.1.;;;;;;
дислоцировать;2.3.5.2.4.8.2.1.;;;;;;
дислоцироваться;2.3.5.2.4.8.2.1.;;;;;;
диспансер;1.1.3.3.1.2.4.8.1.;;;;;;
диспансеризация;1.2.1.6.4.3.2.2.2.;;;;;;
диспансеризовать;2.3.5.2.4.3.2.1.;;;;;;
диспепсия;1.2.1.1.4.2.2.3.3.2.1.1.;;;;;;
диспетчер;1.1.1.2.1.1.1.2.4.2.5.2.2.3.2.2.;1.1.3.2.3.3.5.;;;;;
диспетчерская;1.1.3.2.2.5.6.;1.1.3.3.1.2.3.1.;;;;;
диспетчерша;1.1.1.2.1.1.1.2.4.2.5.2.2.3.2.2.;;;;;;
дисплей;1.1.3.2.3.3.1.2.;;;;;;
диспозиция;1.1.3.2.10.1.6.;;;;;;
диспропорциональность;1.2.1.2.1.1.4.3.;;;;;;
диспропорция;1.2.1.2.1.1.4.3.;;;;;;
диспут;1.2.1.4.2.3.1.1.;;;;;;
диспутант;1.1.1.2.1.1.1.2.3.3.4.12.1.2.;;;;;;
диспутантка;1.1.1.2.1.1.1.2.3.3.4.12.1.2.;;;;;;
диспутировать;2.3.3.3.1.1.3.2.;;;;;;
диссертант;1.1.1.2.1.1.1.2.4.2.4.4.3.2.;;;;;;
диссертантка;1.1.1.2.1.1.1.2.4.2.4.4.3.2.;;;;;;
диссертация;1.2.1.5.2.2.2.1.;;;;;;
диссидент;1.1.1.2.1.1.1.2.2.1.2.1.1.;1.1.1.2.1.1.1.2.2.1.5.;;;;;
диссидентка;1.1.1.2.1.1.1.2.2.1.2.1.1.;1.1.1.2.1.1.1.2.2.1.5.;;;;;
диссимиляция;1.2.1.5.2.1.2.1.2.3.1.3.2.;;;;;;
диссонанс;1.2.1.2.1.1.4.3.;1.2.1.5.2.1.3.3.3.;;;;;
дистанция;1.1.3.1.4.1.1.2.;1.1.3.1.4.2.4.2.;1.1.3.3.1.2.3.2.4.1.3.;1.2.1.1.3.2.1.2.;1.2.1.2.1.1.4.1.;;
дистих;1.2.1.5.2.1.3.4.2.2.2.2.;;;;;;
дистония;1.2.1.1.4.2.2.3.3.2.1.1.;;;;;;
дистрибьютор;1.1.1.2.1.1.1.2.4.2.7.3.2.2.;;;;;;
дистрофик;1.1.1.2.1.1.1.2.5.7.2.;;;;;;
дистрофичка;1.1.1.2.1.1.1.2.5.7.2.;;;;;;
дистрофия;1.2.1.1.4.2.2.3.3.1.;;;;;;
дисциплина;1.2.1.5.2.1.2.1.1.;1.2.1.6.3.2.1.;;;;;
дисциплинировать;2.3.3.2.1.7.1.2.1.;;;;;;
дитя;1.1.1.2.1.1.1.2.3.2.;1.1.1.2.1.1.1.2.5.2.;;;;;
дитятко;1.1.1.2.1.1.1.2.5.2.;;;;;;
дифирамб;1.2.1.4.2.2.1.2.4.;1.2.1.5.2.1.3.3.4.1.3.;;;;;
дифтерит;1.2.1.1.4.2.2.3.3.2.1.1.;;;;;;
дифтерия;1.2.1.1.4.2.2.3.3.2.1.1.;;;;;;
дифтонг;1.2.1.5.2.1.2.1.2.3.1.3.2.;;;;;;
дифференциал;1.1.3.2.3.2.3.5.;;;;;;
дифференцировать;2.3.7.1.14.;;;;;;
дихотомия;1.2.1.2.1.1.7.2.;;;;;;
дичать;2.3.2.2.4.3.;2.4.2.1.1.;;;;;
дичиться;2.3.3.1.3.1.1.;;;;;;
дичок;1.1.1.2.1.1.1.2.2.2.3.1.6.;1.1.1.3.1.2.1.2.1.1.2.;;;;;
дичь;1.1.1.2.2.1.1.3.2.;1.1.2.2.3.1.;1.1.3.2.7.1.1.2.2.5.1.1.;1.2.1.4.2.2.1.1.4.;;;
диэлектрик;1.1.2.1.3.1.3.2.1.;;;;;;
диэлектрик;1.1.2.1.3.1.3.2.1.;;;;;;
длань;1.1.1.2.4.1.2.2.3.;;;;;;
длина;1.2.1.1.3.2.1.1.2.;;;;;;
длиннокрылые;1.1.1.2.2.1.3.2.;;;;;;
длиннота;1.2.1.5.2.2.3.1.;;;;;;
длительность;1.2.1.1.3.1.1.1.;;;;;;
длить;2.1.2.1.2.;;;;;;
длиться;2.2.4.1.2.2.2.1.;2.4.1.2.2.;;;;;
дневалить;2.3.5.2.4.8.2.2.;;;;;;
дневальный;1.1.1.2.1.1.1.2.4.2.6.3.3.;1.1.1.2.1.1.1.2.4.2.9.4.;;;;;
дневать;2.2.4.1.2.2.2.1.;;;;;;
дневка;1.2.1.1.3.1.2.2.1.2.2.;;;;;;
дневник;1.1.3.2.7.3.5.2.;1.2.1.5.2.2.4.2.3.2.1.2.2.;1.2.1.5.2.2.2.1.;;;;
дневничок;1.1.3.2.7.3.5.2.;1.2.1.5.2.2.2.1.;;;;;
днище;1.1.3.2.5.3.2.1.;1.1.3.4.3.2.2.;;;;;
дно;1.1.1.2.1.1.2.2.3.3.;1.1.2.2.3.2.3.3.;1.1.2.2.3.3.2.5.1.;1.1.3.2.5.3.2.1.;1.1.3.2.7.2.4.5.;1.1.3.4.3.2.2.;1.2.1.1.2.7.3.
добавить;2.3.1.2.1.2.;2.3.3.3.1.1.1.1.1.2.2.1.;;;;;
добавиться;2.2.2.1.1.2.;;;;;;
добавка;1.1.3.4.1.4.2.;1.2.1.1.3.4.1.1.2.2.1.;;;;;
добавление;1.1.3.4.1.4.2.;;;;;;
добавляться;2.3.1.2.1.2.;2.3.3.3.1.1.1.1.1.2.2.1.;;;;;
добавочка;1.1.3.4.1.4.2.;;;;;;
добежать;2.3.6.1.3.1.;;;;;;
доберман;1.1.1.2.2.1.2.3.2.1.2.;;;;;;
доберман-пинчер;1.1.1.2.2.1.2.3.2.1.2.;;;;;;
доберманчик;1.1.1.2.2.1.2.3.2.1.2.;;;;;;
добить;2.3.7.1.10.2.;;;;;;
добиться;2.3.1.8.;2.3.2.3.1.8.;;;;;
доблесть;1.2.1.3.2.3.2.;;;;;;
добрать;2.3.1.12.2.2.1.;;;;;;
добраться;2.3.2.1.3.3.;2.3.6.1.3.1.;;;;;
добрести;2.3.6.1.3.1.;;;;;;
добреть;2.3.2.2.4.3.;2.4.2.1.4.;;;;;
добришко;1.1.3.2.7.3.1.;;;;;;
добро;1.1.3.2.7.3.1.;1.2.1.1.2.4.3.;1.2.1.2.1.3.3.;1.2.1.3.1.6.2.;1.2.1.3.2.2.1.2.;1.2.2.2.2.;
доброволец;1.1.1.2.1.1.1.2.3.3.3.2.1.;1.1.1.2.1.1.1.2.4.2.6.7.;;;;;
добровольность;1.2.1.3.2.3.5.;;;;;;
добродетель;1.2.1.3.2.3.5.;;;;;;
добродетельность;1.2.1.3.2.3.5.;;;;;;
добродушие;1.2.1.3.2.3.1.;;;;;;
доброжелатель;1.1.1.2.1.1.1.2.2.1.6.1.1.;;;;;;
доброжелательница;1.1.1.2.1.1.1.2.2.1.6.1.1.;;;;;;
доброжелательность;1.2.1.3.2.2.1.2.;;;;;;
доброжелательство;1.2.1.3.2.2.1.2.;;;;;;
доброжелательствовать;2.3.2.2.2.2.3.1.1.;2.3.3.1.2.2.2.;;;;;
добронравие;1.2.1.3.2.3.5.;;;;;;
добропорядочность;1.2.1.3.2.3.5.;;;;;;
добросердечие;1.2.1.3.2.3.1.;;;;;;
добросердечность;1.2.1.3.2.3.1.;;;;;;
добросить;2.3.6.1.3.2.;;;;;;
добросовестность;1.2.1.3.2.3.4.;;;;;;
добрососедство;1.2.1.6.3.4.3.2.2.1.;;;;;;
доброта;1.2.1.3.2.3.1.;;;;;;
доброхот;1.1.1.2.1.1.1.2.2.1.6.1.1.;1.1.1.2.1.1.1.2.3.3.3.2.1.;;;;;
доброхотка;1.1.1.2.1.1.1.2.2.1.6.1.1.;;;;;;
добряк;1.1.1.2.1.1.1.2.2.2.3.1.2.;;;;;;
добрячка;1.1.1.2.1.1.1.2.2.2.3.1.2.;;;;;;
добрячок;1.1.1.2.1.1.1.2.2.2.3.1.2.;;;;;;
добытчик;1.1.1.2.1.1.1.2.3.3.4.6.;1.1.1.2.1.1.1.2.4.2.7.1.5.1.;;;;;
добытчица;1.1.1.2.1.1.1.2.3.3.4.6.;1.1.1.2.1.1.1.2.4.2.7.1.5.1.;;;;;
добыть;2.3.1.12.2.2.1.;2.3.5.2.2.3.2.;2.4.1.3.2.2.2.;;;;
добыча;1.1.3.4.1.3.;;;;;;
добычник;1.1.1.2.1.1.1.2.3.3.4.6.;;;;;;
доверенность;1.1.3.2.10.3.3.4.3.;1.2.1.3.1.1.3.2.;;;;;
доверие;1.2.1.3.1.1.3.2.;;;;;;
доверитель;1.1.1.2.1.1.1.2.3.3.2.4.2.;;;;;;
доверительница;1.1.1.2.1.1.1.2.3.3.2.4.2.;;;;;;
доверить;2.4.1.3.2.7.;;;;;;
довериться;2.3.2.1.6.3.;2.3.3.3.2.4.1.;;;;;
доверчивость;1.2.1.3.2.3.9.;;;;;;
довершить;2.1.2.1.3.;2.4.1.4.1.;;;;;
довершиться;2.2.7.;;;;;;
доверять;2.3.2.1.6.3.;;;;;;
довесить;2.3.1.9.2.2.2.;;;;;;
довесок;1.1.3.4.2.3.2.;;;;;;
довесочек;1.1.3.4.2.3.2.;;;;;;
довести;2.1.2.2.1.2.;2.1.5.2.1.1.;2.1.5.2.2.1.;2.3.2.2.2.3.7.2.;2.3.3.1.2.3.3.2.;2.3.3.2.1.4.3.3.;
довестись;2.2.4.1.1.;;;;;;
довод;1.2.1.3.1.2.3.1.1.;;;;;;
доводить;2.3.5.2.2.4.1.;;;;;;
доводиться;2.1.4.1.3.;;;;;;
довоеваться;2.3.3.1.2.3.3.2.;2.3.5.2.4.8.3.5.;;;;;
довольствие;1.1.3.4.7.1.;;;;;;
довольство;1.2.1.3.2.2.1.1.;1.2.1.6.3.1.2.1.;;;;;
довольствоваться;2.1.3.4.;2.3.2.3.1.7.1.;;;;;
довыборы;1.2.1.6.3.2.2.4.;;;;;;
довязать;2.3.5.2.2.9.3.2.;;;;;;
дог;1.1.1.2.2.1.2.3.2.1.2.;;;;;;
догадаться;2.3.2.1.2.5.;;;;;;
догадка;1.2.1.3.1.2.3.1.1.;1.2.1.3.1.3.;;;;;
доглядеть;2.3.3.2.1.7.3.2.;;;;;;
догма;1.2.1.3.1.2.3.1.1.;;;;;;
догмат;1.2.1.5.1.2.2.1.;;;;;;
догматизм;1.2.1.3.1.2.4.1.2.;;;;;;
догматик;1.1.1.2.1.1.1.2.2.1.3.;;;;;;
догматика;1.2.1.3.1.2.4.1.2.;1.2.1.5.2.1.2.1.2.6.;;;;;
догнать;2.3.2.3.1.2.2.;2.3.5.2.1.2.1.;2.3.6.1.3.1.;;;;
договор;1.1.3.2.10.3.1.;1.2.1.4.2.2.1.2.8.;;;;;
договоренность;1.1.3.2.10.3.1.;1.2.1.4.2.2.1.2.8.;;;;;
договорить;2.3.3.3.1.1.1.2.1.;2.3.3.3.1.2.1.1.2.;;;;;
договориться;2.3.3.3.2.2.1.;;;;;;
договорник;1.1.1.2.1.1.1.2.4.1.3.;;;;;;
договорница;1.1.1.2.1.1.1.2.4.1.3.;;;;;;
догонялки;1.2.1.6.4.4.2.5.1.2.;;;;;;
догонялочки;1.2.1.6.4.4.2.5.1.2.;;;;;;
догуляться;2.3.3.1.2.3.3.2.;2.3.5.3.2.2.;;;;;
доделать;2.3.1.1.1.;2.3.5.2.2.4.2.;;;;;
додержаться;2.2.7.;;;;;;
додо;1.1.1.2.2.1.3.3.;;;;;;
додумать;2.3.2.1.2.1.;;;;;;
додуматься;2.3.2.1.2.5.;2.3.2.3.1.4.;;;;;
доезжачий;1.1.1.2.1.1.1.2.4.2.7.4.1.2.2.2.;;;;;;
доехать;2.3.3.2.1.4.3.3.;2.3.6.1.3.1.;;;;;
дож;1.1.1.2.1.1.1.2.4.2.5.2.2.2.2.1.;;;;;;
дожать;2.3.5.2.2.5.1.1.3.1.;;;;;;
дождаться;2.2.7.;2.3.1.14.4.;2.3.3.1.2.3.3.2.;2.4.1.2.4.;;;
дождевик;1.1.1.3.2.2.;1.1.3.2.7.2.2.1.1.3.1.1.2.;;;;;
дождевичок;1.1.1.3.2.2.;1.1.3.2.7.2.2.1.1.3.1.1.2.;;;;;
дождемер;1.1.3.2.3.4.3.2.;;;;;;
дождик;1.1.2.2.2.3.3.4.;1.2.1.1.4.3.1.2.3.;;;;;
дождина;1.1.2.2.2.3.3.4.;1.2.1.1.4.3.1.2.3.;;;;;
дождинка;1.1.2.2.2.3.3.4.;;;;;;
дождичек;1.1.2.2.2.3.3.4.;1.2.1.1.4.3.1.2.3.;;;;;
дождь;1.1.2.2.2.3.3.4.;1.2.1.1.3.4.1.1.2.2.1.;1.2.1.1.4.3.1.2.3.;;;;
дожидаться;2.3.1.14.3.;2.3.1.14.4.;;;;;
дожитие;1.2.1.1.2.2.3.1.;;;;;;
дожить;2.2.4.1.2.2.2.1.;2.2.7.;2.3.1.13.2.;;;;
дожиться;2.2.7.;2.3.3.1.2.3.3.2.;;;;;
доза;1.2.1.1.3.4.1.1.2.1.3.;1.2.1.2.3.1.3.1.;1.2.1.2.3.1.3.4.;;;;
дозаправиться;2.3.5.2.3.;;;;;;
дозатор;1.1.3.2.3.1.3.1.;;;;;;
дозваться;2.3.3.2.1.8.2.1.;2.3.3.3.1.1.4.1.;;;;;
дозволить;2.3.2.3.1.6.1.;;;;;;
дозволяться;2.1.3.1.;;;;;;
дозвониться;2.3.3.3.1.2.3.2.;;;;;;
дозиметр;1.1.3.2.3.4.5.;;;;;;
дознаватель;1.1.1.2.1.1.1.2.4.2.5.2.2.2.2.4.;;;;;;
дознавательница;1.1.1.2.1.1.1.2.4.2.5.2.2.2.2.4.;;;;;;
дознание;1.2.1.6.4.3.2.4.2.;;;;;;
дознаться;2.3.3.3.1.1.2.2.;;;;;;
дозор;1.1.3.3.2.3.;;;;;;
дозорный;1.1.1.2.1.1.1.2.4.2.6.3.3.;;;;;;
доиграть;2.3.5.2.4.1.3.;2.3.5.2.4.1.4.1.;2.3.5.3.1.1.;2.3.5.3.2.3.;;;
доиграться;2.3.3.1.2.3.3.2.;2.3.5.3.1.1.;2.3.5.3.2.3.;;;;
доильщик;1.1.1.2.1.1.1.2.4.2.7.1.4.3.2.;;;;;;
доильщица;1.1.1.2.1.1.1.2.4.2.7.1.4.3.2.;;;;;;
доискаться;2.3.3.3.1.1.2.2.;;;;;;
доить;2.3.5.2.2.5.1.2.3.2.;2.4.1.3.2.2.2.;;;;;
дойти;2.1.5.2.1.2.;2.2.7.;2.3.2.1.3.3.;2.3.3.1.2.3.3.2.;2.3.6.1.3.1.;;
док;1.1.3.2.2.5.1.;1.1.3.2.2.5.2.;1.1.3.3.1.2.3.2.2.;;;;
дока;1.1.1.2.1.1.1.2.2.2.2.1.1.;1.1.1.2.1.1.1.2.2.2.3.1.16.;;;;;
доказательность;1.2.1.2.1.2.2.3.;;;;;;
доказательство;1.2.1.2.1.1.5.1.;1.2.1.3.1.2.3.1.1.;;;;;
доказать;2.3.2.1.2.1.;2.3.3.1.4.3.2.;2.3.3.3.1.1.1.1.4.;2.3.3.3.2.1.2.2.;;;
докатить;2.3.6.1.3.2.;;;;;;
докатиться;2.3.3.1.2.3.3.2.;2.3.6.1.3.1.;;;;;
докер;1.1.1.2.1.1.1.2.4.2.7.2.1.1.5.;1.1.1.2.1.1.1.2.4.2.7.4.2.2.;;;;;
докинуть;2.3.6.1.3.2.;;;;;;
доклад;1.1.3.2.10.3.3.3.;1.2.1.4.2.3.1.1.;1.2.1.4.2.3.1.2.;;;;
докладная;1.1.3.2.10.3.3.3.;;;;;;
докладчик;1.1.1.2.1.1.1.2.3.3.4.12.1.1.;1.1.1.2.1.1.1.2.3.3.4.12.1.2.;;;;;
докладчица;1.1.1.2.1.1.1.2.3.3.4.12.1.1.;1.1.1.2.1.1.1.2.3.3.4.12.1.2.;;;;;
докликаться;2.3.3.3.1.1.4.1.;;;;;;
доконать;2.3.1.16.;2.3.3.2.1.4.3.3.;;;;;
докончить;2.1.2.1.3.;2.4.1.4.1.;;;;;
докопаться;2.3.3.3.1.1.2.2.;;;;;;
докосить;2.3.5.2.2.5.1.1.3.1.;;;;;;
докричаться;2.3.3.3.1.1.4.1.;;;;;;
доктор;1.1.1.2.1.1.1.2.4.2.4.2.;1.1.1.2.1.1.1.2.4.2.4.5.1.1.;;;;;
докторант;1.1.1.2.1.1.1.2.4.2.4.4.3.2.;;;;;;
докторантка;1.1.1.2.1.1.1.2.4.2.4.4.3.2.;;;;;;
докторантура;1.2.1.6.4.3.2.1.2.;;;;;;
докторица;1.1.1.2.1.1.1.2.4.2.4.5.1.1.;;;;;;
докторская;1.2.1.5.2.2.2.1.;;;;;;
докторша;1.1.1.2.1.1.1.2.3.3.3.2.2.;1.1.1.2.1.1.1.2.4.2.4.5.1.1.;;;;;
доктрина;1.2.1.5.2.1.2.1.1.;;;;;;
доктринер;1.1.1.2.1.1.1.2.2.1.3.;;;;;;
доктринерка;1.1.1.2.1.1.1.2.2.1.3.;;;;;;
доктринерство;1.2.1.3.1.2.4.1.2.;;;;;;
докумекать;2.3.2.1.2.5.;;;;;;
документ;1.1.3.2.10.3.1.;1.1.3.2.10.3.3.5.1.;1.2.1.5.2.2.1.;;;;
документализм;1.2.1.5.2.1.3.1.3.2.;;;;;;
документалист;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
документалистика;1.2.1.5.2.1.3.1.4.2.;;;;;;
документалистка;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
документация;1.1.3.2.10.3.1.;;;;;;
документик;1.1.3.2.10.3.1.;1.1.3.2.10.3.3.5.1.;;;;;
документировать;2.3.5.2.4.7.2.4.;;;;;;
документоведение;1.2.1.5.2.1.2.1.2.7.;;;;;;
докупить;2.3.5.2.4.6.3.2.;;;;;;
докуриться;2.3.3.1.2.3.3.2.;;;;;;
докутиться;2.3.3.1.2.3.3.2.;;;;;;
докучать;2.3.3.1.2.3.1.3.1.1.;;;;;;
докучливость;1.2.1.3.2.3.17.;;;;;;
дол;1.1.2.2.3.2.2.1.;;;;;;
долбить;2.3.3.3.1.1.1.1.1.2.1.;2.3.5.2.4.2.1.1.;2.3.7.1.1.;;;;
долбленка;1.1.3.4.6.3.;;;;;;
долг;1.1.3.2.10.2.2.2.4.;;;;;;
долг;1.2.1.3.1.6.1.;1.2.1.6.3.2.1.;;;;;
долгожитель;1.1.1.2.1.1.1.2.5.3.;;;;;;
долгожительница;1.1.1.2.1.1.1.2.5.3.;;;;;;
долголетие;1.2.1.1.2.2.2.;;;;;;
долгоносик;1.1.1.2.2.1.6.2.;;;;;;
долгота;1.1.2.2.2.1.;;;;;;
долготерпение;1.2.1.3.2.3.2.;;;;;;
долгунец;1.1.1.3.1.2.2.3.4.;;;;;;
долдон;1.1.1.2.1.1.1.2.2.2.1.2.;1.1.1.2.1.1.1.2.2.2.3.2.;;;;;
долдонить;2.3.3.3.1.1.1.1.1.2.1.;;;;;;
долететь;2.3.6.1.3.1.;;;;;;
долечить;2.3.5.2.4.3.1.1.;2.3.5.2.4.3.1.3.;;;;;
долечиться;2.3.3.1.2.3.3.2.;2.3.5.2.4.3.1.1.;2.3.5.2.4.3.1.3.;;;;
долечка;1.1.3.4.3.3.;;;;;;
долженствование;1.2.1.2.1.2.5.;;;;;;
долженствовать;2.1.3.3.;;;;;;
должник;1.1.1.2.1.1.1.2.3.3.2.4.1.;1.1.1.2.1.1.1.2.3.3.3.2.2.;;;;;
должница;1.1.1.2.1.1.1.2.3.3.2.4.1.;1.1.1.2.1.1.1.2.3.3.3.2.2.;;;;;
должное;1.2.1.2.1.2.5.;;;;;;
должность;1.2.1.2.1.2.5.;1.2.1.6.4.2.1.;;;;;
должок;1.1.3.2.10.2.2.2.4.;;;;;;
долина;1.1.2.2.3.2.2.1.;;;;;;
доллар;1.1.3.2.10.2.1.1.2.;;;;;;
доложить;2.3.3.3.1.1.1.1.1.1.2.;;;;;;
доложиться;2.3.3.3.1.1.1.1.1.1.2.;;;;;;
доломан;1.1.3.2.7.2.2.1.1.3.1.1.1.;1.1.3.2.7.2.2.1.1.3.2.1.2.;;;;;
долото;1.1.3.2.3.2.2.3.1.;1.1.3.2.3.6.4.1.;;;;;
долька;1.1.1.3.1.3.3.4.;1.1.3.4.3.2.1.;1.1.3.4.3.3.;;;;
дольник;1.2.1.5.2.1.3.4.2.2.2.1.;;;;;;
дольщик;1.1.1.2.1.1.1.2.3.3.2.4.1.;;;;;;
дольщица;1.1.1.2.1.1.1.2.3.3.2.4.1.;;;;;;
долюшка;1.2.1.1.2.3.;;;;;;
доля;1.1.3.4.3.2.1.;1.2.1.1.2.3.;1.2.1.2.3.1.3.1.;;;;
дом;1.1.1.2.1.1.2.2.4.;1.1.3.1.2.1.;1.1.3.2.2.1.1.1.;1.1.3.2.2.3.1.1.1.;1.1.3.3.1.1.;;
дом-музей;1.1.3.3.1.2.6.2.;;;;;;
домашние;1.1.1.2.1.1.2.4.2.2.;;;;;;
домбра;1.1.3.2.11.2.3.2.;;;;;;
доменщик;1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.;1.1.1.2.1.1.1.2.4.2.7.1.2.1.3.1.;;;;;
домик;1.1.3.2.2.1.1.1.;;;;;;
домина;1.1.3.2.2.1.1.1.;;;;;;
доминанта;1.2.1.2.2.1.;;;;;;
доминиканец;1.1.1.2.1.1.1.2.4.2.1.2.;;;;;;
доминиканка;1.1.1.2.1.1.1.2.4.2.1.2.;1.1.1.2.1.1.2.2.1.2.;;;;;
доминиканцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
доминион;1.1.3.1.2.2.2.;;;;;;
доминирование;1.2.1.2.1.3.2.;;;;;;
доминировать;2.2.4.1.2.2.1.1.;2.2.4.1.2.2.3.2.;;;;;
домино;1.1.1.2.1.1.1.2.5.8.2.;1.1.3.2.7.2.2.1.1.3.2.4.;1.1.3.2.11.1.4.3.;;;;
домино;1.2.1.6.4.4.2.5.2.;;;;;;
доминошник;1.1.1.2.1.1.1.2.4.2.8.2.3.;;;;;;
доминошница;1.1.1.2.1.1.1.2.4.2.8.2.3.;;;;;;
домичек;1.1.3.2.2.1.1.1.;;;;;;
домишка;1.1.3.2.2.1.1.1.;;;;;;
домишко;1.1.3.2.2.1.1.1.;;;;;;
домище;1.1.3.2.2.1.1.1.;;;;;;
домком;1.1.3.3.1.3.3.3.2.;;;;;;
домкрат;1.1.3.2.3.2.2.1.3.;;;;;;
домна;1.1.3.2.2.5.8.;;;;;;
домовина;1.1.3.2.8.4.;;;;;;
домовладелец;1.1.1.2.1.1.1.2.3.3.2.3.1.3.;;;;;;
домовладелица;1.1.1.2.1.1.1.2.3.3.2.3.1.3.;;;;;;
домовладение;1.1.3.1.2.5.3.;;;;;;
домовничать;2.3.5.2.2.9.7.;;;;;;
домовой;1.1.1.2.1.2.2.2.;;;;;;
домогательство;1.2.1.6.3.4.3.2.5.2.;;;;;;
домок;1.1.1.2.1.1.2.2.4.;1.1.3.2.2.1.1.1.;1.1.3.2.2.3.1.1.1.;;;;
домоправитель;1.1.1.2.1.1.1.2.4.2.7.4.1.2.2.1.;;;;;;
домоправительница;1.1.1.2.1.1.1.2.4.2.7.4.1.2.2.1.;;;;;;
домосед;1.1.1.2.1.1.1.2.2.2.3.1.6.;;;;;;
домоседка;1.1.1.2.1.1.1.2.2.2.3.1.6.;;;;;;
домостроение;1.1.3.2.2.1.1.1.;1.2.1.6.4.3.3.2.4.2.2.;;;;;
домостроитель;1.1.1.2.1.1.1.2.4.2.7.1.3.1.;;;;;;
домостроительство;1.2.1.6.4.3.3.2.4.2.2.;;;;;;
домострой;1.2.1.6.3.1.1.;;;;;;
домоуправ;1.1.1.2.1.1.1.2.4.2.5.2.2.3.1.2.;;;;;;
домоуправление;1.1.3.3.1.2.2.1.2.;;;;;;
домоуправша;1.1.1.2.1.1.1.2.4.2.5.2.2.3.1.2.;;;;;;
домофон;1.1.3.2.3.3.2.;;;;;;
домохозяин;1.1.1.2.1.1.1.2.3.3.2.3.1.3.;;;;;;
домохозяйка;1.1.1.2.1.1.1.2.3.3.2.3.1.3.;1.1.1.2.1.1.1.2.4.2.7.4.1.2.2.1.;;;;;
домочадец;1.1.1.2.1.1.1.2.3.3.5.1.3.;;;;;;
домра;1.1.3.2.11.2.3.2.;;;;;;
домработница;1.1.1.2.1.1.1.2.4.2.7.4.1.2.2.1.;;;;;;
домрист;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
домристка;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
домуправ;1.1.1.2.1.1.1.2.4.2.5.2.2.3.1.2.;;;;;;
домуправша;1.1.1.2.1.1.1.2.4.2.5.2.2.3.1.2.;;;;;;
домушник;1.1.1.2.1.1.1.2.3.3.2.6.5.2.;;;;;;
домушница;1.1.1.2.1.1.1.2.3.3.2.6.5.2.;;;;;;
домушничество;1.2.1.6.3.2.3.2.2.2.;;;;;;
домчать;2.3.6.1.3.2.;;;;;;
домчаться;2.3.6.1.3.1.;;;;;;
домысел;1.2.1.2.1.2.3.2.;;;;;;
домыслить;2.3.2.1.2.4.1.;;;;;;
донг;1.1.3.2.10.2.1.1.2.;;;;;;
донесение;1.1.3.2.10.3.3.3.;;;;;;
донести;2.3.3.1.4.3.2.;2.3.3.3.1.1.1.1.1.1.2.;2.3.3.3.1.1.1.1.4.;2.3.3.3.2.8.4.2.2.;2.3.5.2.4.8.2.1.;;
донестись;2.3.6.1.3.1.;;;;;;
донец;1.1.1.2.1.1.1.2.1.2.4.2.;1.1.1.2.2.1.2.4.2.;;;;;
донжуан;1.1.1.2.1.1.1.2.2.2.3.1.14.;;;;;;
